"ID","X","Y","state","OAK","PINE","MAPLE","BIRCH","HEMLOCK","TAMARACK","POPLAR/TULIP.POPLAR","CEDAR/JUNIPER","BEECH","ELM","SPRUCE","BASSWOOD","ASH","FIR","IRONWOOD","HICKORY","OTHER.HARDWOOD","WALNUT","BLACK.GUM/SWEET.GUM"
4164,85000,1382000,"minnesota",1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
4165,93000,1382000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4166,101000,1382000,"minnesota",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
4167,109000,1382000,"minnesota",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
4168,117000,1382000,"minnesota",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4169,125000,1382000,"minnesota",0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0
4170,133000,1382000,"minnesota",0,0,0,0,0,17,2,5,0,0,5,0,0,0,0,0,0,0,0
4171,141000,1382000,"minnesota",0,2,0,1,0,11,6,0,0,1,2,0,1,6,0,0,0,0,0
4172,149000,1382000,"minnesota",0,1,0,1,0,9,4,0,0,0,3,0,0,0,0,0,0,0,0
4173,157000,1382000,"minnesota",0,1,0,12,0,26,8,3,0,0,17,0,0,5,0,0,0,0,0
4174,165000,1382000,"minnesota",0,0,0,1,0,13,3,1,0,0,7,0,0,0,0,0,0,0,0
4175,173000,1382000,"minnesota",0,0,0,4,0,21,3,4,0,0,4,0,0,0,0,0,0,0,0
4176,181000,1382000,"minnesota",0,2,0,1,0,10,5,7,0,0,8,0,0,1,0,0,0,0,0
4177,189000,1382000,"minnesota",0,2,0,0,0,11,0,1,0,0,6,0,0,0,0,0,0,0,0
